ST,County,StateFIPS,CountyFIPS,S_C_Rate,Population,S_Homicide_Rate,S_Suicide_Rate
AL,AUTAUGA,1,1,19.50461987,382981,10.20193948,8.62048382
AL,BALDWIN,1,3,17.20061485,1310307,7.343284786,9.530646212
AL,BARBOUR,1,5,17.12761536,191181,6.54469855,9.956296731
AL,BIBB,1,7,18.21458402,158945,8.60826231,9.194622206
AL,BLOUNT,1,9,18.83956278,402599,8.222034353,10.03113144
AL,BULLOCK,1,11,20.49729713,75435,11.59865608,8.023988302
AL,BUTLER,1,13,17.7879437,144433,7.202480272,9.712435519
AL,CALHOUN,1,15,17.62510241,821696,5.197572734,11.79449197
AL,CHAMBERS,1,17,15.29545229,239504,5.001237806,9.585705796
AL,CHEROKEE,1,19,15.71197249,181721,4.374028973,10.64730737
AL,CHILTON,1,21,15.04056483,305591,4.715586926,9.955127954
AL,CHOCTAW,1,23,17.63605496,95832,7.548506013,8.646470524
AL,CLARKE,1,25,15.82973896,179025,3.921566752,11.38210838
AL,CLAY,1,27,18.33554664,96299,5.753832628,11.66110079
AL,CLEBURNE,1,29,17.05671029,104746,5.145077143,11.38153429
AL,COFFEE,1,31,15.99822872,351356,4.522706009,10.73298889
AL,COLBERT,1,33,16.11664018,381275,3.075694692,10.58038974
AL,CONECUH,1,35,16.4107525,91596,6.154032187,9.392996495
AL,COOSA,1,37,14.07795477,78918,3.64871398,9.973151546
AL,COVINGTON,1,39,15.02433331,264580,3.152857953,11.35672304
AL,CRENSHAW,1,41,19.5258544,97675,9.654450231,8.931270439
AL,CULLMAN,1,43,14.83357866,563918,2.522308922,11.2302802
AL,DALE,1,45,15.28482669,349700,4.194007323,10.2520179
AL,DALLAS,1,47,18.36619858,301721,8.634308498,9.292857451
AL,DE KALB,1,49,14.77876746,496451,2.993168094,10.69434017
AL,ELMORE,1,51,18.99097214,557793,9.168055518,9.019223448
AL,ESCAMBIA,1,53,14.17827791,266393,3.514274012,10.31560604
AL,ETOWAH,1,55,16.1013809,729002,3.818917265,11.4051448
AL,FAYETTE,1,57,14.33871187,119939,3.729722741,9.987368672
AL,FRANKLIN,1,59,17.10618418,221312,2.752719293,11.86290934
AL,GENEVA,1,61,14.72787791,187374,3.491052541,10.54588789
AL,GREENE,1,63,14.50491451,62586,5.042927269,8.734142073
AL,HALE,1,65,14.93116577,109285,5.306546718,9.052344401
AL,HENRY,1,67,14.2451302,120739,4.205705107,9.021915794
AL,HOUSTON,1,69,15.3559013,714840,4.741471279,9.860105045
AL,JACKSON,1,71,14.64628444,372114,3.249783478,10.19452625
AL,JEFFERSON,1,73,17.78064602,4609287,7.799895408,9.535678124
AL,LAMAR,1,75,15.15478326,100891,4.249754035,10.34374095
AL,LAUDERDALE,1,77,16.07926147,648610,3.108657217,11.43414149
AL,LAWRENCE,1,79,15.26896779,237718,2.955284089,10.69922295
AL,LEE,1,81,16.18926534,1011486,7.098160184,8.545092837
AL,LIMESTONE,1,83,14.34236733,595597,3.51241649,9.659145347
AL,LOWNDES,1,85,21.0091468,77903,12.10633459,8.046056222
AL,MACON,1,87,17.9489777,145220,9.195777614,7.941807939
