country,span
Afghanistan,49
Angola,44
Albania,65
Andorra,72
United Arab Emirates,67
Argentina,67
Armenia,62
Antigua and Barbuda,64
Australia,73
Austria,71
Azerbaijan,63
Burundi,48
Belgium,71
Benin,50
Burkina Faso,50
Bangladesh,60
Bulgaria,66
Bahrain,66
Bahamas,64
Bosnia and Herzegovina,68
Belarus,64
Belize,63
"Bolivia, Plurinational State of",59
Brazil,64
Barbados,66
Brunei Darussalam,68
Bhutan,59
Botswana,53
Central African Republic,43
Canada,72
Switzerland,73
Chile,70
China,68
Côte d'Ivoire,46
Cameroon,48
Democratic Republic of the Congo,44
"Congo, the Democratic Republic of the",50
Cook Islands,64
Colombia,68
Comoros,53
Cabo Verde,64
Costa Rica,69
Cuba,67
Cyprus,74
Czech Republic,69
Germany,71
Djibouti,52
Dominica,63
Denmark,70
Dominican Republic,66
Algeria,62
Ecuador,66
Egypt,61
Eritrea,54
Spain,73
Estonia,67
Ethiopia,55
Finland,71
Fiji,60
France,72
Micronesia (Federated States of),60
Gabon,54
United Kingdom,71
Georgia,65
Ghana,54
Guinea,49
Gambia,53
Guinea-Bissau,47
Equatorial Guinea,47
Greece,71
Grenada,63
Guatemala,62
Guyana,55
Honduras,64
Croatia,68
Haiti,52
Hungary,66
Indonesia,62
India,57
Ireland,71
"Iran, Islamic Republic of",64
Iraq,61
Iceland,72
Israel,72
Italy,73
Jamaica,64
Jordan,64
Japan,75
Kazakhstan,60
Kenya,53
Kyrgyzstan,61
Cambodia,61
Kiribati,58
Saint Kitts and Nevis,63
"Korea, Republic of",73
Kuwait,68
Lao People's Democratic Republic,57
Lebanon,69
Liberia,52
Libya,64
Saint Lucia,63
Sri Lanka,65
Lesotho,43
Lithuania,65
Luxembourg,72
Latvia,65
Morocco,61
Monaco,72
"Moldova, Republic of",63
Madagascar,55
Maldives,67
Mexico,67
Marshall Islands,59
"Macedonia, the former Yugoslav republic of",66
Mali,48
Malta,71
Myanmar,57
Montenegro,66
Mongolia,60
Mozambique,45
Mauritania,53
Mauritius,65
Malawi,50
Malaysia,64
Namibia,57
Niger,50
Nigeria,46
Nicaragua,64
Niue,64
Netherlands,71
Norway,71
Nepal,59
Nauru,66
New Zealand,72
Oman,66
Pakistan,56
Panama,67
Peru,67
Philippines,60
Palau,62
Papua New Guinea,53
Poland,67
"Korea, Democratic People's Republic of",62
Portugal,71
Paraguay,65
Qatar,68
Romania,66
Russian Federation,61
Rwanda,55
Saudi Arabia,65
Sudan,53
Senegal,55
Singapore,76
Solomon Islands,59
Sierra Leone,39
El Salvador,63
San Marino,73
Somalia,45
Serbia,65
South Sudan,48
Sao Tome and Principe,57
Suriname,66
Slovakia,67
Slovenia,70
Sweden,72
Swaziland,46
Seychelles,67
Syrian Arab Republic,59
Chad,44
Togo,50
Thailand,66
Tajikistan,60
Turkmenistan,56
Timor-Leste,57
Tonga,62
Trinidad and Tobago,61
Tunisia,66
Turkey,65
Tuvalu,58
"Tanzania, United Republic of",52
Uganda,49
Ukraine,63
Uruguay,68
United States,70
Uzbekistan,61
Saint Vincent and the Grenadines,63
"Venezuela, Bolivarian Republic of",66
Viet Nam,66
Vanuatu,62
Samoa,64
Yemen,54
South Africa,51
Zambia,49
Zimbabwe,49
